,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[48, 13, 34, 1]"
1,1,50,0.75,"[41, 20, 34, 1]"
2,1,50,1.0,"[10, 51, 7, 28]"
3,1,100,0.5,"[48, 13, 34, 1]"
4,1,100,0.75,"[41, 20, 34, 1]"
5,1,100,1.0,"[59, 2, 35, 0]"
6,1,150,0.5,"[48, 13, 34, 1]"
7,1,150,0.75,"[41, 20, 34, 1]"
8,1,150,1.0,"[59, 2, 35, 0]"
9,0,50,0.5,"[50, 11, 30, 5]"
10,0,50,0.75,"[49, 12, 28, 7]"
11,0,50,1.0,"[50, 11, 28, 7]"
12,0,100,0.5,"[50, 11, 28, 7]"
13,0,100,0.75,"[50, 11, 28, 7]"
14,0,100,1.0,"[50, 11, 28, 7]"
15,0,150,0.5,"[50, 11, 28, 7]"
16,0,150,0.75,"[50, 11, 28, 7]"
17,0,150,1.0,"[50, 11, 28, 7]"
