,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[41, 20, 11, 24]"
1,linear,0.1,,,100,"[41, 20, 9, 26]"
2,linear,0.1,,,150,"[41, 20, 9, 26]"
3,rbf,0.1,1,,50,"[46, 15, 13, 22]"
4,rbf,0.1,1,,100,"[46, 15, 12, 23]"
5,rbf,0.1,1,,150,"[46, 15, 12, 23]"
6,poly,0.1,1,2,50,"[42, 19, 9, 26]"
7,poly,0.1,1,2,100,"[42, 19, 9, 26]"
8,poly,0.1,1,2,150,"[42, 19, 9, 26]"
9,poly,0.1,1,3,50,"[41, 20, 9, 26]"
10,poly,0.1,1,3,100,"[40, 21, 9, 26]"
11,poly,0.1,1,3,150,"[39, 22, 9, 26]"
12,rbf,0.1,10.0,,50,"[53, 8, 21, 14]"
13,rbf,0.1,10.0,,100,"[53, 8, 21, 14]"
14,rbf,0.1,10.0,,150,"[53, 8, 21, 14]"
15,poly,0.1,10.0,2,50,"[43, 18, 10, 25]"
16,poly,0.1,10.0,2,100,"[43, 18, 10, 25]"
17,poly,0.1,10.0,2,150,"[43, 18, 10, 25]"
18,poly,0.1,10.0,3,50,"[39, 22, 10, 25]"
19,poly,0.1,10.0,3,100,"[39, 22, 10, 25]"
20,poly,0.1,10.0,3,150,"[39, 22, 10, 25]"
21,linear,1.0,,,50,"[41, 20, 11, 24]"
22,linear,1.0,,,100,"[41, 20, 9, 26]"
23,linear,1.0,,,150,"[41, 20, 9, 26]"
24,rbf,1.0,1,,50,"[42, 19, 10, 25]"
25,rbf,1.0,1,,100,"[42, 19, 10, 25]"
26,rbf,1.0,1,,150,"[41, 20, 10, 25]"
27,poly,1.0,1,2,50,"[43, 18, 10, 25]"
28,poly,1.0,1,2,100,"[42, 19, 10, 25]"
29,poly,1.0,1,2,150,"[42, 19, 10, 25]"
30,poly,1.0,1,3,50,"[39, 22, 10, 25]"
31,poly,1.0,1,3,100,"[39, 22, 10, 25]"
32,poly,1.0,1,3,150,"[39, 22, 10, 25]"
33,rbf,1.0,10.0,,50,"[41, 20, 10, 25]"
34,rbf,1.0,10.0,,100,"[41, 20, 10, 25]"
35,rbf,1.0,10.0,,150,"[41, 20, 10, 25]"
36,poly,1.0,10.0,2,50,"[43, 18, 10, 25]"
37,poly,1.0,10.0,2,100,"[41, 20, 10, 25]"
38,poly,1.0,10.0,2,150,"[42, 19, 10, 25]"
39,poly,1.0,10.0,3,50,"[39, 22, 10, 25]"
40,poly,1.0,10.0,3,100,"[39, 22, 10, 25]"
41,poly,1.0,10.0,3,150,"[39, 22, 10, 25]"
42,linear,10.0,,,50,"[41, 20, 11, 24]"
43,linear,10.0,,,100,"[41, 20, 9, 26]"
44,linear,10.0,,,150,"[41, 20, 9, 26]"
45,rbf,10.0,1,,50,"[41, 20, 10, 25]"
46,rbf,10.0,1,,100,"[41, 20, 10, 25]"
47,rbf,10.0,1,,150,"[41, 20, 10, 25]"
48,poly,10.0,1,2,50,"[43, 18, 10, 25]"
49,poly,10.0,1,2,100,"[43, 18, 10, 25]"
50,poly,10.0,1,2,150,"[43, 18, 10, 25]"
51,poly,10.0,1,3,50,"[39, 22, 10, 25]"
52,poly,10.0,1,3,100,"[39, 22, 10, 25]"
53,poly,10.0,1,3,150,"[39, 22, 10, 25]"
54,rbf,10.0,10.0,,50,"[41, 20, 10, 25]"
55,rbf,10.0,10.0,,100,"[41, 20, 10, 25]"
56,rbf,10.0,10.0,,150,"[41, 20, 10, 25]"
57,poly,10.0,10.0,2,50,"[38, 23, 10, 25]"
58,poly,10.0,10.0,2,100,"[39, 22, 10, 25]"
59,poly,10.0,10.0,2,150,"[38, 23, 9, 26]"
60,poly,10.0,10.0,3,50,"[39, 22, 10, 25]"
61,poly,10.0,10.0,3,100,"[39, 22, 10, 25]"
62,poly,10.0,10.0,3,150,"[39, 22, 10, 25]"
63,linear,100.0,,,50,"[41, 20, 11, 24]"
64,linear,100.0,,,100,"[41, 20, 9, 26]"
65,linear,100.0,,,150,"[41, 20, 9, 26]"
66,rbf,100.0,1,,50,"[41, 20, 10, 25]"
67,rbf,100.0,1,,100,"[41, 20, 10, 25]"
