,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[47, 15, 8, 26]","[45, 16, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 5, 29]","[44, 17, 8, 26]","[47, 14, 9, 25]","[43, 18, 8, 26]","[46, 15, 13, 21]","[41, 20, 8, 26]"
1,linear,0.1,,,100,"[47, 15, 8, 26]","[45, 16, 10, 25]","[54, 7, 9, 26]","[49, 12, 12, 23]","[50, 11, 6, 28]","[43, 18, 8, 26]","[47, 14, 9, 25]","[43, 18, 8, 26]","[46, 15, 13, 21]","[41, 20, 8, 26]"
2,linear,0.1,,,150,"[47, 15, 8, 26]","[45, 16, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 6, 28]","[43, 18, 8, 26]","[47, 14, 8, 26]","[43, 18, 8, 26]","[46, 15, 13, 21]","[41, 20, 8, 26]"
3,rbf,0.1,1.0,,50,"[49, 13, 12, 22]","[51, 10, 14, 21]","[54, 7, 9, 26]","[54, 7, 22, 13]","[50, 11, 8, 26]","[47, 14, 8, 26]","[48, 13, 9, 25]","[44, 17, 10, 24]","[47, 14, 16, 18]","[44, 17, 13, 21]"
4,rbf,0.1,1.0,,100,"[49, 13, 12, 22]","[51, 10, 14, 21]","[54, 7, 9, 26]","[54, 7, 22, 13]","[50, 11, 8, 26]","[47, 14, 8, 26]","[48, 13, 9, 25]","[44, 17, 10, 24]","[47, 14, 16, 18]","[44, 17, 13, 21]"
5,rbf,0.1,1.0,,150,"[49, 13, 13, 21]","[51, 10, 14, 21]","[54, 7, 9, 26]","[54, 7, 22, 13]","[50, 11, 8, 26]","[47, 14, 8, 26]","[48, 13, 9, 25]","[44, 17, 10, 24]","[47, 14, 16, 18]","[43, 18, 13, 21]"
6,poly,0.1,1.0,2.0,50,"[47, 15, 8, 26]","[47, 14, 9, 26]","[53, 8, 9, 26]","[50, 11, 12, 23]","[50, 11, 6, 28]","[44, 17, 7, 27]","[45, 16, 9, 25]","[43, 18, 9, 25]","[47, 14, 14, 20]","[40, 21, 7, 27]"
7,poly,0.1,1.0,2.0,100,"[46, 16, 8, 26]","[47, 14, 9, 26]","[52, 9, 9, 26]","[50, 11, 12, 23]","[50, 11, 6, 28]","[44, 17, 7, 27]","[45, 16, 9, 25]","[43, 18, 9, 25]","[47, 14, 14, 20]","[39, 22, 7, 27]"
8,poly,0.1,1.0,2.0,150,"[46, 16, 8, 26]","[47, 14, 9, 26]","[52, 9, 9, 26]","[50, 11, 12, 23]","[50, 11, 6, 28]","[44, 17, 7, 27]","[45, 16, 9, 25]","[43, 18, 9, 25]","[47, 14, 14, 20]","[39, 22, 7, 27]"
9,poly,0.1,1.0,3.0,50,"[46, 16, 8, 26]","[49, 12, 11, 24]","[52, 9, 9, 26]","[50, 11, 15, 20]","[50, 11, 7, 27]","[43, 18, 7, 27]","[45, 16, 9, 25]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 9, 25]"
10,poly,0.1,1.0,3.0,100,"[46, 16, 8, 26]","[49, 12, 11, 24]","[52, 9, 9, 26]","[50, 11, 16, 19]","[47, 14, 7, 27]","[42, 19, 7, 27]","[45, 16, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 9, 25]"
11,poly,0.1,1.0,3.0,150,"[47, 15, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 16, 19]","[50, 11, 7, 27]","[42, 19, 7, 27]","[45, 16, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 9, 25]"
12,rbf,0.1,10.0,,50,"[56, 6, 22, 12]","[57, 4, 24, 11]","[57, 4, 13, 22]","[59, 2, 31, 4]","[50, 11, 9, 25]","[55, 6, 16, 18]","[49, 12, 13, 21]","[48, 13, 14, 20]","[48, 13, 22, 12]","[49, 12, 19, 15]"
13,rbf,0.1,10.0,,100,"[56, 6, 22, 12]","[57, 4, 24, 11]","[57, 4, 13, 22]","[59, 2, 31, 4]","[50, 11, 9, 25]","[55, 6, 16, 18]","[49, 12, 13, 21]","[50, 11, 14, 20]","[48, 13, 22, 12]","[52, 9, 21, 13]"
14,rbf,0.1,10.0,,150,"[58, 4, 28, 6]","[57, 4, 24, 11]","[57, 4, 13, 22]","[59, 2, 31, 4]","[50, 11, 9, 25]","[55, 6, 16, 18]","[49, 12, 13, 21]","[50, 11, 14, 20]","[48, 13, 22, 12]","[52, 9, 22, 12]"
15,poly,0.1,10.0,2.0,50,"[47, 15, 8, 26]","[48, 13, 11, 24]","[52, 9, 7, 28]","[50, 11, 17, 18]","[49, 12, 7, 27]","[42, 19, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 8, 26]"
16,poly,0.1,10.0,2.0,100,"[47, 15, 8, 26]","[47, 14, 11, 24]","[50, 11, 7, 28]","[49, 12, 17, 18]","[49, 12, 7, 27]","[42, 19, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 8, 26]"
17,poly,0.1,10.0,2.0,150,"[47, 15, 8, 26]","[47, 14, 11, 24]","[51, 10, 7, 28]","[49, 12, 17, 18]","[49, 12, 7, 27]","[43, 18, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 8, 26]"
18,poly,0.1,10.0,3.0,50,"[47, 15, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[46, 15, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 7, 27]","[42, 19, 9, 25]","[46, 15, 12, 22]","[44, 17, 11, 23]"
19,poly,0.1,10.0,3.0,100,"[47, 15, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[46, 15, 15, 20]","[44, 17, 7, 27]","[40, 21, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
20,poly,0.1,10.0,3.0,150,"[47, 15, 9, 25]","[47, 14, 9, 26]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
21,linear,1.0,,,50,"[47, 15, 9, 25]","[45, 16, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 6, 28]","[43, 18, 8, 26]","[47, 14, 9, 25]","[43, 18, 9, 25]","[46, 15, 12, 22]","[41, 20, 8, 26]"
22,linear,1.0,,,100,"[48, 14, 9, 25]","[45, 16, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 6, 28]","[43, 18, 8, 26]","[47, 14, 9, 25]","[43, 18, 9, 25]","[46, 15, 12, 22]","[41, 20, 8, 26]"
23,linear,1.0,,,150,"[48, 14, 9, 25]","[45, 16, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 6, 28]","[43, 18, 8, 26]","[47, 14, 9, 25]","[43, 18, 9, 25]","[46, 15, 12, 22]","[41, 20, 8, 26]"
24,rbf,1.0,1.0,,50,"[49, 13, 9, 25]","[49, 12, 11, 24]","[53, 8, 9, 26]","[50, 11, 15, 20]","[49, 12, 7, 27]","[45, 16, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 13, 21]","[44, 17, 11, 23]"
25,rbf,1.0,1.0,,100,"[49, 13, 9, 25]","[49, 12, 11, 24]","[53, 8, 9, 26]","[51, 10, 15, 20]","[49, 12, 7, 27]","[45, 16, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 13, 21]","[42, 19, 8, 26]"
26,rbf,1.0,1.0,,150,"[49, 13, 9, 25]","[49, 12, 11, 24]","[52, 9, 9, 26]","[51, 10, 16, 19]","[49, 12, 7, 27]","[45, 16, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 13, 21]","[42, 19, 8, 26]"
27,poly,1.0,1.0,2.0,50,"[48, 14, 8, 26]","[47, 14, 9, 26]","[53, 8, 7, 28]","[51, 10, 16, 19]","[50, 11, 7, 27]","[44, 17, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 9, 25]"
28,poly,1.0,1.0,2.0,100,"[48, 14, 8, 26]","[47, 14, 11, 24]","[53, 8, 8, 27]","[51, 10, 16, 19]","[50, 11, 7, 27]","[44, 17, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 9, 25]"
29,poly,1.0,1.0,2.0,150,"[48, 14, 8, 26]","[47, 14, 9, 26]","[53, 8, 7, 28]","[51, 10, 16, 19]","[50, 11, 7, 27]","[44, 17, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 9, 25]"
30,poly,1.0,1.0,3.0,50,"[47, 15, 9, 25]","[47, 14, 11, 24]","[48, 13, 9, 26]","[48, 13, 16, 19]","[47, 14, 7, 27]","[42, 19, 7, 27]","[44, 17, 7, 27]","[42, 19, 9, 25]","[46, 15, 12, 22]","[44, 17, 11, 23]"
31,poly,1.0,1.0,3.0,100,"[49, 13, 9, 25]","[48, 13, 11, 24]","[48, 13, 9, 26]","[48, 13, 15, 20]","[48, 13, 7, 27]","[42, 19, 7, 27]","[45, 16, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
32,poly,1.0,1.0,3.0,150,"[48, 14, 9, 25]","[48, 13, 11, 24]","[48, 13, 9, 26]","[48, 13, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[45, 16, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[42, 19, 8, 26]"
33,rbf,1.0,10.0,,50,"[49, 13, 9, 25]","[50, 11, 12, 23]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[44, 17, 10, 24]","[47, 14, 13, 21]","[44, 17, 12, 22]"
34,rbf,1.0,10.0,,100,"[49, 13, 9, 25]","[50, 11, 11, 24]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[43, 18, 10, 24]","[47, 14, 13, 21]","[43, 18, 8, 26]"
35,rbf,1.0,10.0,,150,"[49, 13, 9, 25]","[50, 11, 11, 24]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[43, 18, 10, 24]","[47, 14, 13, 21]","[43, 18, 8, 26]"
36,poly,1.0,10.0,2.0,50,"[49, 13, 8, 26]","[48, 13, 11, 24]","[51, 10, 7, 28]","[50, 11, 14, 21]","[45, 16, 7, 27]","[43, 18, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[41, 20, 7, 27]"
37,poly,1.0,10.0,2.0,100,"[49, 13, 9, 25]","[47, 14, 11, 24]","[51, 10, 7, 28]","[51, 10, 14, 21]","[45, 16, 7, 27]","[43, 18, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 13, 21]","[41, 20, 7, 27]"
38,poly,1.0,10.0,2.0,150,"[48, 14, 9, 25]","[47, 14, 11, 24]","[50, 11, 7, 28]","[51, 10, 14, 21]","[45, 16, 7, 27]","[43, 18, 7, 27]","[47, 14, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[41, 20, 7, 27]"
39,poly,1.0,10.0,3.0,50,"[47, 15, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 7, 27]","[42, 19, 9, 25]","[46, 15, 12, 22]","[44, 17, 11, 23]"
